2026-05-18 23:05:13,913 | src.services.queries | INFO | get_publicaciones: 0 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 101})
2026-05-18 23:05:13,919 | src.services.queries | INFO | get_publicaciones: 15 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 66})
2026-05-18 23:05:13,927 | src.services.queries | INFO | get_publicaciones: 27 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 96})
2026-05-18 23:05:13,934 | src.services.queries | INFO | get_publicaciones: 9 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 84})
2026-05-18 23:05:13,941 | src.services.queries | INFO | get_publicaciones: 10 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 98})
2026-05-18 23:05:13,947 | src.services.queries | INFO | get_publicaciones: 1 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 83})
2026-05-18 23:05:13,953 | src.services.queries | INFO | get_publicaciones: 7 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 65})
2026-05-18 23:05:13,960 | src.services.queries | INFO | get_publicaciones: 9 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 75})
2026-05-18 23:05:13,968 | src.services.queries | INFO | get_publicaciones: 5 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 92})
2026-05-18 23:05:13,975 | src.services.queries | INFO | get_publicaciones: 2 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 72})
2026-05-18 23:05:13,982 | src.services.queries | INFO | get_publicaciones: 22 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 74})
2026-05-18 23:05:13,990 | src.services.queries | INFO | get_publicaciones: 4 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 93})
2026-05-18 23:05:13,999 | src.services.queries | INFO | get_publicaciones: 31 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 61})
2026-05-18 23:05:14,008 | src.services.queries | INFO | get_publicaciones: 81 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 87})
2026-05-18 23:05:14,014 | src.services.queries | INFO | get_publicaciones: 13 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 85})
2026-05-18 23:05:14,022 | src.services.queries | INFO | get_publicaciones: 14 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 90})
2026-05-18 23:05:14,030 | src.services.queries | INFO | get_publicaciones: 9 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 63})
2026-05-18 23:05:14,040 | src.services.queries | INFO | get_publicaciones: 42 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 95})
2026-05-18 23:05:14,045 | src.services.queries | INFO | get_publicaciones: 6 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 57})
2026-05-18 23:05:14,053 | src.services.queries | INFO | get_publicaciones: 3 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 59})
2026-05-18 23:05:14,055 | dashboard.pages.resumen_division | INFO | Renderizando layout_resumen
2026-05-18 23:05:17,157 | src.services.queries | INFO | get_departamentos: 3 registros
2026-05-18 23:05:17,168 | src.services.queries | INFO | get_profesores: 18 registros (depto=1, solo_activos=False)
2026-05-18 23:05:17,182 | src.services.queries | INFO | get_publicaciones: 227 registros (filtros: {'depto_id': 1})
2026-05-18 23:05:17,209 | src.services.queries | INFO | get_publicaciones: 227 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'depto_id': 1})
2026-05-18 23:05:17,213 | src.services.queries | INFO | get_departamentos: 3 registros
2026-05-18 23:05:17,276 | src.services.queries | INFO | get_publicaciones: 4758 registros (filtros: {'anio_min': 2014, 'anio_max': 2025})
2026-05-18 23:05:17,294 | src.services.metrics | INFO | generar_kpis_resumen: 4758 publicaciones, h_index=86
2026-05-18 23:05:17,299 | src.services.queries | INFO | get_profesores: 52 registros (depto=None, solo_activos=False)
2026-05-18 23:05:17,308 | src.services.queries | INFO | get_publicaciones: 227 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'depto_id': 1})
2026-05-18 23:05:17,313 | src.services.metrics | INFO | generar_kpis_resumen: 227 publicaciones, h_index=20
2026-05-18 23:05:17,318 | src.services.queries | INFO | get_profesores: 18 registros (depto=1, solo_activos=False)
2026-05-18 23:05:17,328 | src.services.queries | INFO | get_publicaciones: 227 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'depto_id': 1})
